name,type,value,date
United States,____,3835,1991
Russia,1,1754,1991
China,1,1722,1991
Japan,1,884,1991
Germany,1,699,1991
India,1,624,1991
Ukraine,1,487,1991
France,1,462,1991
Canada,1,421,1991
United Kingdom,1,418,1991
Italy,1,306,1991
Brazil,1,284,1992
United States,____,5799,1992
China,1,2599,1992
Russia,1,2554,1992
Japan,1,1339,1992
Germany,1,1037,1992
India,1,954,1992
Ukraine,1,699,1992
France,1,696,1992
Canada,1,637,1992
United Kingdom,1,631,1992
Italy,1,460,1992
Brazil,1,429,1992
United States,____,7797,1993
China,1,3528,1993
Russia,1,3310,1993
Japan,1,1796,1993
Germany,1,1372,1993
India,1,1292,1993
France,1,933,1993
Ukraine,1,888,1993
Canada,1,859,1993
United Kingdom,1,845,1993
Italy,1,613,1993
Brazil,1,577,1993
United States,____,9833,1994
China,1,4501,1994
Russia,1,3970,1994
Japan,1,2279,1994
Germany,1,1705,1994
India,1,1643,1994
France,1,1164,1994
Canada,1,1090,1994
United Kingdom,1,1066,1994
Ukraine,1,1049,1994
Italy,1,765,1994
Brazil,1,733,1994
United States,____,11896,1995
China,1,5546,1995
Russia,1,4608,1995
Japan,1,2775,1995
Germany,1,2041,1995
India,1,2014,1995
France,1,1404,1995
Canada,1,1324,1995
United Kingdom,1,1283,1995
Ukraine,1,1209,1995
Italy,1,924,1995
Brazil,1,895,1995
United States,____,14004,1996
China,1,6620,1996
Russia,1,5242,1996
Japan,1,3280,1996
India,1,2397,1996
Germany,1,2389,1996
France,1,1654,1996
Canada,1,1562,1996
United Kingdom,1,1509,1996
Ukraine,1,1356,1996
Italy,1,1084,1996
Brazil,1,1065,1996
United States,1,16134,1997
China,1,7693,1997
Russia,1,5848,1997
Japan,1,3791,1997
India,1,2795,1997
Germany,1,2734,1997
France,1,1898,1997
Canada,1,1803,1997
United Kingdom,1,1727,1997
Ukraine,1,1496,1997
Italy,1,1245,1997
Brazil,1,1243,1997
United States,____,18290,1998
China,1,8772,1998
Russia,1,6439,1998
Japan,1,4293,1998
India,1,3202,1998
Germany,1,3078,1998
France,1,2150,1998
Canada,1,2043,1998
United Kingdom,1,1948,1998
Ukraine,1,1628,1998
Brazil,1,1426,1998
Italy,1,1411,1998
United States,____,20496,1999
China,1,9871,1999
Russia,1,7048,1999
Japan,1,4802,1999
India,1,3633,1999
Germany,1,3413,1999
France,1,2401,1999
Canada,1,2289,1999
United Kingdom,1,2170,1999
Ukraine,1,1759,1999
Brazil,1,1613,1999
Italy,1,1580,1999
United States,____,22765,2000
China,1,11001,2000
Russia,1,7666,2000
Japan,1,5321,2000
India,1,4073,2000
Germany,1,3750,2000
France,1,2656,2000
Canada,1,2542,2000
United Kingdom,1,2393,2000
Ukraine,1,1888,2000
Brazil,1,1801,2000
Italy,1,1752,2000
United States,____,24992,2001
China,1,12169,2001
Russia,1,8292,2001
Japan,1,5831,2001
India,1,4521,2001
Germany,1,4096,2001
France,1,2916,2001
Canada,1,2793,2001
United Kingdom,1,2616,2001
Ukraine,1,2018,2001
Brazil,1,1992,2001
Italy,1,1924,2001
United States,____,27248,2002
China,1,13415,2002
Russia,1,8914,2002
Japan,1,6344,2002
India,1,4984,2002
Germany,1,4435,2002
France,1,3177,2002
Canada,1,3043,2002
United Kingdom,1,2837,2002
Brazil,1,2188,2002
Ukraine,1,2149,2002
Italy,1,2097,2002
United States,____,29509,2003
China,1,14835,2003
Russia,1,9559,2003
Japan,1,6852,2003
India,1,5458,2003
Germany,1,4772,2003
France,1,3445,2003
Canada,1,3307,2003
United Kingdom,1,3061,2003
Brazil,1,2387,2003
Ukraine,1,2286,2003
Italy,1,2279,2003
United States,____,31817,2004
China,1,16450,2004
Russia,1,10205,2004
Japan,1,7377,2004
India,1,5957,2004
Germany,1,5111,2004
France,1,3716,2004
Canada,1,3578,2004
United Kingdom,1,3283,2004
Brazil,1,2597,2004
Italy,1,2461,2004
Ukraine,1,2424,2004
United States,____,34137,2005
China,1,18232,2005
Russia,1,10856,2005
Japan,1,7900,2005
India,1,6471,2005
Germany,1,5448,2005
France,1,3988,2005
Canada,1,3851,2005
United Kingdom,1,3505,2005
Brazil,1,2813,2005
Italy,1,2648,2005
South Korea,1,2589,2005
United States,____,36434,2006
China,1,20182,2006
Russia,1,11526,2006
Japan,1,8424,2006
India,1,7004,2006
Germany,1,5794,2006
France,1,4256,2006
Canada,1,4128,2006
United Kingdom,1,3724,2006
Brazil,1,3036,2006
Italy,1,2832,2006
South Korea,1,2807,2006
United States,1,38772,2007
China,1,22280,2007
Russia,1,12198,2007
Japan,1,8941,2007
India,1,7572,2007
Germany,1,6122,2007
France,1,4522,2007
Canada,1,4406,2007
United Kingdom,1,3935,2007
Brazil,1,3272,2007
South Korea,1,3033,2007
Italy,1,3016,2007
United States,1,41050,2008
China,1,24435,2008
Russia,1,12886,2008
Japan,1,9440,2008
India,1,8173,2008
Germany,1,6453,2008
France,1,4789,2008
Canada,1,4678,2008
United Kingdom,1,4143,2008
Brazil,1,3521,2008
South Korea,1,3265,2008
Italy,1,3198,2008
United States,1,43215,2009
China,1,26732,2009
Russia,1,13532,2009
Japan,1,9915,2009
India,1,8838,2009
Germany,1,6763,2009
France,1,5044,2009
Canada,1,4940,2009
United Kingdom,1,4339,2009
Brazil,1,3762,2009
South Korea,1,3500,2009
Italy,1,3368,2009
United States,1,45432,2010
China,1,29268,2010
Russia,1,14219,2010
Japan,1,10416,2010
India,1,9538,2010
Germany,1,7089,2010
France,1,5307,2010
Canada,1,5203,2010
United Kingdom,1,4542,2010
Brazil,1,4028,2010
South Korea,1,3755,2010
Italy,1,3542,2010
United States,1,47624,2011
China,1,31991,2011
Russia,1,14940,2011
Japan,1,10879,2011
India,1,10272,2011
Germany,1,7398,2011
France,1,5561,2011
Canada,1,5470,2011
United Kingdom,1,4731,2011
Brazil,1,4299,2011
South Korea,1,4022,2011
Italy,1,3710,2011
United States,1,49776,2012
China,1,34812,2012
Russia,1,15679,2012
Japan,1,11333,2012
India,1,11038,2012
Germany,1,7709,2012
France,1,5815,2012
Canada,1,5738,2012
United Kingdom,1,4924,2012
Brazil,1,4579,2012
South Korea,1,4292,2012
Italy,1,3871,2012
United States,1,51973,2013
China,1,37724,2013
Russia,1,16399,2013
India,1,11817,2013
Japan,1,11788,2013
Germany,1,8027,2013
France,1,6070,2013
Canada,1,6010,2013
United Kingdom,1,5115,2013
Brazil,1,4872,2013
South Korea,1,4564,2013
Italy,1,4027,2013
United States,1,54190,2014
China,1,40689,2014
Russia,1,17122,2014
India,1,12641,2014
Japan,1,12227,2014
Germany,1,8332,2014
France,1,6315,2014
Canada,1,6290,2014
United Kingdom,1,5295,2014
Brazil,1,5174,2014
South Korea,1,4841,2014
Italy,1,4174,2014
United States,1,56383,2015
China,1,43683,2015
Russia,1,17832,2015
India,1,13477,2015
Japan,1,12660,2015
Germany,1,8640,2015
Canada,1,6571,2015
France,1,6563,2015
United Kingdom,1,5477,2015
Brazil,1,5470,2015
South Korea,1,5124,2015
Italy,1,4326,2015
United States,1,58556,2016
China,1,46647,2016
Russia,1,18563,2016
India,1,14339,2016
Japan,1,13087,2016
Germany,1,8950,2016
Canada,1,6852,2016
France,1,6807,2016
Brazil,1,5756,2016
United Kingdom,1,5655,2016
South Korea,1,5417,2016
Indonesia,1,4498,2016
United States,1,60736,2017
China,1,49698,2017
Russia,1,19336,2017
India,1,15236,2017
Japan,1,13517,2017
Germany,1,9262,2017
Canada,1,7143,2017
France,1,7051,2017
Brazil,1,6045,2017
United Kingdom,1,5832,2017
South Korea,1,5719,2017
Indonesia,1,4740,2017
United States,1,62994,2018
China,1,52862,2018
Russia,1,20136,2018
India,1,16166,2018
Japan,1,13941,2018
Germany,1,9563,2018
Canada,1,7444,2018
France,1,7294,2018
Brazil,1,6335,2018
South Korea,1,6025,2018
United Kingdom,1,6008,2018
Indonesia,1,4991,2018